hall,|The,hall,is,long,dark,and,empty|rug,key,/
entrance,|the,entrance,is,broken,down|rock,/
livingroom,|a,rather,generic,living,room|book,tv,remote,/
bathroom,|a,suspicious,looking,bathroom|note,toothbrush,toothpaste,/
secretstairs,|drafty,stairs,leading,down,;,the,door's,locked|torch,/
secretexit,|you've,found,a,secret,exit!|/
livingroomstairs,|warm,cozy,and,inviting,stairs,leading,you,upwards|/
upstairshall,|a,hall,with,several,exits|/
bedroom,|the,largest,bedroom,in,the,house|blanket,key,pen,/
bedroom1,|completely,empty;,very,spooky|/
bedroom2,|uninteresting,bedroom|shirt,toy,incompletehomework,/
laundry,|the,laundry,room|washedclothes,detergent,/
kitchen,|a,large,sprawling,kitchen|knife,fork,spoon,bowl,plate,/
backyard,|the,back,gate,is,locked|lawnmower,blueberry,strawberry,/
basementstairs,|pitch,black,stairs|/
basement,|damp,musty,and,dark,basement|,brokenlightbulb,screwdriver,/
